"Winter crops of borage (grown for oilseed),  Canary flower e.g. Echium vulgare/Echium plantaginium (grown for oilseed),",Winter crops of borage (grown for oilseed),Winter crops of Canary flower e.g. Echium vulgare/Echium plantaginium (grown for oilseed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stored wheat, barley and oat grains and seed",Stored wheat,Stored barley,Oat grains,Oat seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spring crops of borage (grown for oilseed),  Canary flower e.g. Echium vulgare/Echium plantaginium (grown for oilseed)",Spring crops of borage (grown for oilseed),Spring crops of Canary flower e.g. Echium vulgare/Echium plantaginium (grown for oilseed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected, outdoor and permanent protection with full enclosure strawberry","Protected, outdoor and permanent protection with full enclosure strawberry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected, outdoor and permanent protection with full enclosure ornamental plant production","Protected, outdoor and permanent protection with full enclosure ornamental plant production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected, outdoor and permanent protection with full enclosure crops of blackberry,  loganberry and rubus hybrid,  raspberry","Protected, outdoor and permanent protection with full enclosure crops of blackberry","Protected, outdoor and permanent protection with full enclosure crops of loganberry","Protected, outdoor and permanent protection with full enclosure crops of rubus hybrid","Protected, outdoor and permanent protection with full enclosure crops of raspberry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected, outdoor and permanent protection with full enclosure crops of angelica,  balm,","Protected, outdoor and permanent protection with full enclosure crops of angelica","Protected, outdoor and permanent protection with full enclosure crops of balm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected, outdoor and permanent protection with full enclosure angelica, baby leaf crops, balm, basil, bay, caraway leaves, celery leaves, chervil, chives, coriander, dill leaves, fennel leaves, herbs (others), hyssop, lettuce, lovage leaves, marjoram, mint, oregano, parsley, rocket, rosemary, sage, salad burnet, savory, sweet cicely, tarragon, thyme","Protected, outdoor and permanent protection with full enclosure angelica","Protected, outdoor and permanent protection with full enclosure baby leaf crops","Protected, outdoor and permanent protection with full enclosure balm","Protected, outdoor and permanent protection with full enclosure basil","Protected, outdoor and permanent protection with full enclosure bay","Protected, outdoor and permanent protection with full enclosure caraway leaves","Protected, outdoor and permanent protection with full enclosure celery leaves","Protected, outdoor and permanent protection with full enclosure chervil","Protected, outdoor and permanent protection with full enclosure chives","Protected, outdoor and permanent protection with full enclosure coriander","Protected, outdoor and permanent protection with full enclosure dill leaves","Protected, outdoor and permanent protection with full enclosure fennel leaves","Protected, outdoor and permanent protection with full enclosure herbs (others)","Protected, outdoor and permanent protection with full enclosure hyssop","Protected, outdoor and permanent protection with full enclosure lettuce","Protected, outdoor and permanent protection with full enclosure lovage leaves","Protected, outdoor and permanent protection with full enclosure marjoram","Protected, outdoor and permanent protection with full enclosure mint","Protected, outdoor and permanent protection with full enclosure oregano","Protected, outdoor and permanent protection with full enclosure parsley","Protected, outdoor and permanent protection with full enclosure rocket","Protected, outdoor and permanent protection with full enclosure rosemary","Protected, outdoor and permanent protection with full enclosure sage","Protected, outdoor and permanent protection with full enclosure salad burnet","Protected, outdoor and permanent protection with full enclosure savory","Protected, outdoor and permanent protection with full enclosure sweet cicely","Protected, outdoor and permanent protection with full enclosure tarragon","Protected, outdoor and permanent protection with full enclosure thyme",,,,,,,,,,
"Protected herb crops of basil,  borage,  caraway,  chervil,  coriander,  curry plant,  dill,  edible pansy,  fenugreek,  feverfew,  marigold,  nasturtium,  parsley,  rocket (salad),  savory,  violet",Protected herb crops of basil,Protected herb crops of borage,Protected herb crops of caraway,Protected herb crops of chervil,Protected herb crops of coriander,Protected herb crops of curry plant,Protected herb crops of dill,Protected herb crops of edible pansy,Protected herb crops of fenugreek,Protected herb crops of feverfew,Protected herb crops of marigold,Protected herb crops of nasturtium,Protected herb crops of parsley,Protected herb crops of rocket (salad),Protected herb crops of savory,Protected herb crops of violet,,,,,,,,,,,,,,,,,,,,,,
"Protected herb crops of agastache spp,  angelica,  balm,  bay,  burnet (salad),  catnip,  chamomile,  chives,  clary sage,  dragonhead,  fennel,  horehound,  hyssop,  lavandin,  lavender,  lovage,  marjoram,  mint,  nettle,  oregano,  origanum heracleoticum,  plantain,  rosemary,  rue,  sage,  sorrel,  spike lavender,  St John’s Wort,  tarragon,  thyme,  verbena (lemon),  woodruff,  yarrow",Protected herb crops of agastache spp,Protected herb crops of angelica,Protected herb crops of balm,Protected herb crops of bay,Protected herb crops of burnet (salad),Protected herb crops of catnip,Protected herb crops of chamomile,Protected herb crops of chives,Protected herb crops of clary sage,Protected herb crops of dragonhead,Protected herb crops of fennel,Protected herb crops of horehound,Protected herb crops of hyssop,Protected herb crops of lavandin,Protected herb crops of lavender,Protected herb crops of lovage,Protected herb crops of marjoram,Protected herb crops of mint,Protected herb crops of nettle,Protected herb crops of oregano,Protected herb crops of origanum heracleoticum,Protected herb crops of plantain,Protected herb crops of rosemary,Protected herb crops of rue,Protected herb crops of sage,Protected herb crops of sorrel,Protected herb crops of spike lavender,Protected herb crops of St John’s Wort,Protected herb crops of tarragon,Protected herb crops of thyme,Protected herb crops of verbena (lemon),Protected herb crops of woodruff,Protected herb crops of yarrow,,,,,
"Protected herb crops of agastache spp,  angelica,",Protected herb crops of agastache spp,Protected herb crops of angelica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected herb and outdoor herb crops of basil,  borage,",Protected herb and outdoor herb crops of basil,Protected herb and outdoor herb crops of borage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected crops of forest nursery,  ornamental plant production",Protected crops of forest nursery,Protected crops of ornamental plant production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected crops of courgette and summer squash,  watermelon",Protected crops of courgette and summer squash,Protected crops of courgette and watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected crops of courgette and summer squash,  sweetcorn,  winter squash and pumpkin",Protected crops of courgette and summer squash,Protected crops of sweetcorn,Protected crops of winter squash and pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected crops of broccoli / calabrese,  Brussels sprout,  cabbage,  cauliflower,  choi sum,  collard kale,  kohlrabi,  oriental cabbage",Protected crops of broccoli / calabrese,Protected crops of Brussels sprout,Protected crops of cabbage,Protected crops of cauliflower,Protected crops of choi sum,Protected crops of collard kale,Protected crops of kohlrabi,Protected crops of oriental cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protected crops of blackcurrant and redcurrant,  blueberry,  gooseberry,  other small fruit and berries",Protected crops of blackcurrant and redcurrant,Protected crops of Blueberry,Protected crops of Gooseberry,Protected crops of other small fruit and berries (this record is lost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
